Entity1,Relation,Entity2
dangerassociated,associated_with,adaptive immunity
pathogen,associated_with,adaptive immunity
complement system,modifies,energy expenditure
complement system,modifies,lipid metabolism
complement system,modifies,glucose homeostasis
complement system,affects,atherosclerosis
complement system,affects,obesity
complement system,affects,metabolic syndrome
complement system,affects,agerelated macular degeneration
complement system,affects,metabolic dysfunctionassociated steatotic liver disease
osteoporosis,diagnosed_by,dual xray absorptiometry
osteoporosis,diagnosed_by,osteoporosis risk prediction tool
oculomics,linked_to_disease,osteoporosis
oculomics,associated_with_process,personalized medicine
aav gene therapy,used_for,wet agerelated macular degeneration
wet agerelated macular degeneration,treated_by,aav gene therapy
vision loss,linked_to_disease,agerelated macular degeneration
diabetic macular edema,causes,vision loss
antivascular endothelial growth factor antivegf therapy,used_for,diabetic macular edema
diabetic macular edema,treated_by,antivascular endothelial growth factor antivegf therapy
predicting the antivegf outcomes,linked_to_disease,diabetic macular edema
storage stability,associated_with_process,solution binding affinity
fcfusion mimetic receptorpegreceptor rpr,used_for,agemacular degeneration
therapeutic aflibercept,used_for,agemacular degeneration
agemacular degeneration,treated_by,therapeutic aflibercept
agemacular degeneration,treated_by,fcfusion mimetic receptorpegreceptor rpr
aflibercept,treats,agemacular degeneration
intravitreal faricimab injection,used_for,bilateral occlusive retinal vasculitis
bilateral occlusive retinal vasculitis,affects,retina
air pollution,linked_to_disease,glaucoma
air pollution,linked_to_disease,agerelated macular degeneration amd
air pollution,linked_to_disease,cataracts
complement,affects,agerelated macular degeneration
lipid pathway,affects,agerelated macular degeneration
dexamethasone intravitreal implant,used_for,diabetic macular oedema
diabetic macular oedema,treated_by,dexamethasone intravitreal implant
diabetic macular oedema dmo,treated_by,dexamethasone implant
electrophysiological profile,linked_to_disease,diabetic macular oedema dmo
agerelated macular degeneration,causes,vision loss
genomewide association study,linked_to_disease,agerelated macular degeneration
genomewide association study,linked_to_disease,vision loss
retina,part_of,retinal pigment epithelium rpe
retina,part_of,retinal pigment epithelium rpe
aging related changes,linked_to_disease,agerelated macular degeneration amd
central bruchs membrane bm defect,induces,myopic maculopathy mmp
central bruchs membrane bm defect,induces,macular atrophy
subretinal proliferation,induces,macular atrophy
subretinal proliferation,induces,myopic maculopathy mmp
visual acuity reduction,associated_with_process,fundus tessellation
nonglaucomatous optic neuropathy,associated_with,longer axial length
diabetic retinopathy,associated_with,axial length
agerelated macular degeneration,associated_with,axial length
angleclosure glaucoma,associated_with,axial length
openangle glaucoma,associated_with,high myopia
geographic atrophy,affects,choroid
imaging analysis,linked_to_disease,geographic atrophy
histopathological correlation,linked_to_disease,geographic atrophy
outer choroidal vessels,affects,geographic atrophy ga
intravitreal injection ivi,used_for,neovascular agerelated macular degeneration namd
brolucizumab,used_for,neovascular agerelated macular degeneration namd
neovascular agerelated macular degeneration namd,treated_by,intravitreal injection ivi
neovascular agerelated macular degeneration namd,treated_by,brolucizumab
retinal pathologies,causes,vision impairment
retinal pathologies,causes,blindness
retinal pathologies,causes,inherited retinal diseases irds
retinal pathologies,causes,retinitis pigmentosa
retinal pathologies,causes,leber congenital amaurosis
retinal pathologies,causes,stargardt disease
neovascular agerelated macular degeneration namd,treated_by,faricimab
